arbre_code,arbre_libelle_fr,noeud_code,parent_code,profondeur,libelle_fr,libelle_ar,provenance,statut,source
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-DIPOLE-A,TCS-PC-PHY,1,Caractéristique d'un dipôle actif,مميزة ثنائي قطب نشيط,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-TRANSISTOR,TCS-PC-PHY,1,Le transistor bipolaire,الترانزستور ثنائي القطبية,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-AO,TCS-PC-PHY,1,L'amplificateur opérationnel,المضخم العملياتي,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-CHI,,0,Chimie,الكيمياء,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-ESPECES,TCS-PC-CHI,1,Les espèces chimiques,الأنواع الكيميائية,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-EXTRACTION,TCS-PC-CHI,1,Extraction séparation et identification des espèces chimiques,استخراج وفصل والكشف عن الأنواع الكيميائية,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-SYNTHESE,TCS-PC-CHI,1,Synthèse des espèces chimiques,تخليق الأنواع الكيميائية,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-ATOME,TCS-PC-CHI,1,Le modèle de l'atome,نموذج الذرة,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-GEOMOL,TCS-PC-CHI,1,La géométrie de quelques molécules,هندسة بعض الجزيئات,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-PERIODIQUE,TCS-PC-CHI,1,Classification périodique des éléments chimiques,التصنيف الدوري للعناصر الكيميائية,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-MOLE,TCS-PC-CHI,1,La mole unité de quantité de matière,المول وحدة كمية المادة,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-CONCENTRATION,TCS-PC-CHI,1,La concentration molaire,التركيز المولي,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-PC,Physique-Chimie — Tronc commun sciences,TCS-PC-BILAN,TCS-PC-CHI,1,Modélisation des transformations chimiques et bilan de matière,نمذجة التحولات الكيميائية وحصيلة المادة,propose,a_confirmer,alloschool.com/course/physique-et-chimie-tronc-commun-sciences-biof
TCS-SVT,SVT — Tronc commun sciences,TCS-SVT-ECO,,0,Écologie,البيئة,propose,a_confirmer,alloschool.com/course/sciences-de-la-vie-et-de-la-terre-svt-tronc-commun-sciences
TCS-SVT,SVT — Tronc commun sciences,TCS-SVT-TERRAIN,TCS-SVT-ECO,1,Les techniques adaptatives à l'étude écologique sur le terrain,تقنيات الدراسة البيئية في الميدان,propose,a_confirmer,alloschool.com/course/sciences-de-la-vie-et-de-la-terre-svt-tronc-commun-sciences
TCS-SVT,SVT — Tronc commun sciences,TCS-SVT-EDAPHIQUES,TCS-SVT-ECO,1,Les facteurs édaphiques et leurs relations avec les êtres vivants,العوامل التربوية وعلاقتها بالكائنات الحية,propose,a_confirmer,alloschool.com/course/sciences-de-la-vie-et-de-la-terre-svt-tronc-commun-sciences
TCS-SVT,SVT — Tronc commun sciences,TCS-SVT-CLIMATIQUES,TCS-SVT-ECO,1,Les facteurs climatiques et leurs relations avec les êtres vivants,العوامل المناخية وعلاقتها بالكائنات الحية,propose,a_confirmer,alloschool.com/course/sciences-de-la-vie-et-de-la-terre-svt-tronc-commun-sciences
TCS-SVT,SVT — Tronc commun sciences,TCS-SVT-FLUX,TCS-SVT-ECO,1,Flux de la matière et de l'énergie dans l'écosystème,تدفق المادة والطاقة داخل النظام البيئي,propose,a_confirmer,alloschool.com/course/sciences-de-la-vie-et-de-la-terre-svt-tronc-commun-sciences
TCS-SVT,SVT — Tronc commun sciences,TCS-SVT-EQUILIBRES,TCS-SVT-ECO,1,Les équilibres naturels,التوازنات الطبيعية,propose,a_confirmer,alloschool.com/course/sciences-de-la-vie-et-de-la-terre-svt-tronc-commun-sciences
TCS-SVT,SVT — Tronc commun sciences,TCS-SVT-REPRO,,0,Reproduction et classification des plantes,تكاثر النباتات وتصنيفها,propose,a_confirmer,alloschool.com/course/sciences-de-la-vie-et-de-la-terre-svt-tronc-commun-sciences
TCS-SVT,SVT — Tronc commun sciences,TCS-SVT-FLEURS,TCS-SVT-REPRO,1,La reproduction sexuée chez les plantes à fleurs,التكاثر الجنسي عند النباتات الزهرية,propose,a_confirmer,alloschool.com/course/sciences-de-la-vie-et-de-la-terre-svt-tronc-commun-sciences
TCS-SVT,SVT — Tronc commun sciences,TCS-SVT-SANSFLEURS,TCS-SVT-REPRO,1,La reproduction sexuée chez les plantes sans fleurs,التكاثر الجنسي عند النباتات اللازهرية,propose,a_confirmer,alloschool.com/course/sciences-de-la-vie-et-de-la-terre-svt-tronc-commun-sciences
TCS-SVT,SVT — Tronc commun sciences,TCS-SVT-CYCLES,TCS-SVT-REPRO,1,Les cycles de développement des plantes,دورات نمو النباتات,propose,a_confirmer,alloschool.com/course/sciences-de-la-vie-et-de-la-terre-svt-tronc-commun-sciences
TCS-SVT,SVT — Tronc commun sciences,TCS-SVT-ASEXUEE,TCS-SVT-REPRO,1,La reproduction asexuée chez les plantes,التكاثر اللاجنسي عند النباتات,propose,a_confirmer,alloschool.com/course/sciences-de-la-vie-et-de-la-terre-svt-tronc-commun-sciences
TCS-SVT,SVT — Tronc commun sciences,TCS-SVT-GENETIQUE,TCS-SVT-REPRO,1,La modification génétique des plantes,التعديل الوراثي للنباتات,propose,a_confirmer,alloschool.com/course/sciences-de-la-vie-et-de-la-terre-svt-tronc-commun-sciences
TCS-SVT,SVT — Tronc commun sciences,TCS-SVT-CLASSIF,TCS-SVT-REPRO,1,La classification des plantes,تصنيف النباتات,propose,a_confirmer,alloschool.com/course/sciences-de-la-vie-et-de-la-terre-svt-tronc-commun-sciences
2BAC-SM-MATH,Mathématiques — 2e Bac Sciences Mathématiques,2BAC-SM-MATH-LIMITES,,1,Limites et continuité,النهايات والاتصال,propose,a_confirmer,alloschool.com/course/mathematiques-2eme-bac-sciences-mathematiques-b-biof
2BAC-SM-MATH,Mathématiques — 2e Bac Sciences Mathématiques,2BAC-SM-MATH-SUITES,,1,Suites numériques,المتتاليات العددية,propose,a_confirmer,alloschool.com/course/mathematiques-2eme-bac-sciences-mathematiques-b-biof
2BAC-SM-MATH,Mathématiques — 2e Bac Sciences Mathématiques,2BAC-SM-MATH-DERIVATION,,1,Dérivation et étude des fonctions,الاشتقاق ودراسة الدوال,propose,a_confirmer,alloschool.com/course/mathematiques-2eme-bac-sciences-mathematiques-b-biof
2BAC-SM-MATH,Mathématiques — 2e Bac Sciences Mathématiques,2BAC-SM-MATH-LOG,,1,Fonctions logarithmiques,الدوال اللوغاريتمية,propose,a_confirmer,alloschool.com/course/mathematiques-2eme-bac-sciences-mathematiques-b-biof
2BAC-SM-MATH,Mathématiques — 2e Bac Sciences Mathématiques,2BAC-SM-MATH-EXP,,1,Fonctions exponentielles,الدوال الأسية,propose,a_confirmer,alloschool.com/course/mathematiques-2eme-bac-sciences-mathematiques-b-biof
2BAC-SM-MATH,Mathématiques — 2e Bac Sciences Mathématiques,2BAC-SM-MATH-COMPLEXES,,1,Nombres complexes,الأعداد العقدية,propose,a_confirmer,alloschool.com/course/mathematiques-2eme-bac-sciences-mathematiques-b-biof
2BAC-SM-MATH,Mathématiques — 2e Bac Sciences Mathématiques,2BAC-SM-MATH-INTEGRAL,,1,Calcul intégral,حساب التكامل,propose,a_confirmer,alloschool.com/course/mathematiques-2eme-bac-sciences-mathematiques-b-biof
2BAC-SM-MATH,Mathématiques — 2e Bac Sciences Mathématiques,2BAC-SM-MATH-EQUADIFF,,1,Équations différentielles,المعادلات التفاضلية,propose,a_confirmer,alloschool.com/course/mathematiques-2eme-bac-sciences-mathematiques-b-biof
2BAC-SM-MATH,Mathématiques — 2e Bac Sciences Mathématiques,2BAC-SM-MATH-ARITH,,1,Arithmétique dans Z,الحساب في Z,propose,a_confirmer,alloschool.com/course/mathematiques-2eme-bac-sciences-mathematiques-b-biof
2BAC-SM-MATH,Mathématiques — 2e Bac Sciences Mathématiques,2BAC-SM-MATH-STRUCTURES,,1,Structures algébriques,البنيات الجبرية,propose,a_confirmer,alloschool.com/course/mathematiques-2eme-bac-sciences-mathematiques-b-biof
2BAC-SM-MATH,Mathématiques — 2e Bac Sciences Mathématiques,2BAC-SM-MATH-EV,,1,Espaces vectoriels,الفضاءات المتجهية,propose,a_confirmer,alloschool.com/course/mathematiques-2eme-bac-sciences-mathematiques-b-biof
2BAC-SM-MATH,Mathématiques — 2e Bac Sciences Mathématiques,2BAC-SM-MATH-PROBA,,1,Calcul de probabilités,حساب الاحتمالات,propose,a_confirmer,alloschool.com/course/mathematiques-2eme-bac-sciences-mathematiques-b-biof
1BAC-SE-MATH,Mathématiques — 1re Bac Sciences Expérimentales,1BAC-SE-MATH-LOGIQUE,,1,Notions de logique,المنطق,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-experimentales-biof
1BAC-SE-MATH,Mathématiques — 1re Bac Sciences Expérimentales,1BAC-SE-MATH-FONCTIONS,,1,Généralités sur les fonctions,عموميات حول الدوال,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-experimentales-biof
1BAC-SE-MATH,Mathématiques — 1re Bac Sciences Expérimentales,1BAC-SE-MATH-BARYCENTRE,,1,Le barycentre dans le plan,البارمركز في المستوى,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-experimentales-biof
1BAC-SE-MATH,Mathématiques — 1re Bac Sciences Expérimentales,1BAC-SE-MATH-SCALAIRE,,1,Le produit scalaire dans le plan,الجداء السلمي في المستوى,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-experimentales-biof
1BAC-SE-MATH,Mathématiques — 1re Bac Sciences Expérimentales,1BAC-SE-MATH-SUITES,,1,Les suites numériques,المتتاليات العددية,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-experimentales-biof
1BAC-SE-MATH,Mathématiques — 1re Bac Sciences Expérimentales,1BAC-SE-MATH-TRIGO,,1,Calcul trigonométrique,الحساب المثلثي,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-experimentales-biof
1BAC-SE-MATH,Mathématiques — 1re Bac Sciences Expérimentales,1BAC-SE-MATH-ROTATION,,1,La rotation dans le plan,الدوران في المستوى,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-experimentales-biof
1BAC-SE-MATH,Mathématiques — 1re Bac Sciences Expérimentales,1BAC-SE-MATH-LIMITES,,1,Les limites d'une fonction numérique,نهايات دالة عددية,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-experimentales-biof
1BAC-SE-MATH,Mathématiques — 1re Bac Sciences Expérimentales,1BAC-SE-MATH-DERIVATION,,1,La dérivation d'une fonction numérique,اشتقاق دالة عددية,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-experimentales-biof
1BAC-SE-MATH,Mathématiques — 1re Bac Sciences Expérimentales,1BAC-SE-MATH-GRAPHE,,1,Représentation graphique d'une fonction,التمثيل المبياني لدالة,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-experimentales-biof
1BAC-SE-MATH,Mathématiques — 1re Bac Sciences Expérimentales,1BAC-SE-MATH-VECTEURS-ESP,,1,Vecteurs de l'espace,متجهات الفضاء,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-experimentales-biof
1BAC-SE-MATH,Mathématiques — 1re Bac Sciences Expérimentales,1BAC-SE-MATH-GEO-ESP,,1,Géométrie analytique de l'espace,الهندسة التحليلية في الفضاء,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-experimentales-biof
1BAC-SM-MATH,Mathématiques — 1re Bac Sciences Mathématiques,1BAC-SM-MATH-LOGIQUE,,1,Logique mathématique,المنطق الرياضياتي,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-mathematiques-biof
1BAC-SM-MATH,Mathématiques — 1re Bac Sciences Mathématiques,1BAC-SM-MATH-ENSEMBLES,,1,Ensembles et applications,المجموعات والتطبيقات,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-mathematiques-biof
1BAC-SM-MATH,Mathématiques — 1re Bac Sciences Mathématiques,1BAC-SM-MATH-FONCTIONS,,1,Généralités sur les fonctions,عموميات حول الدوال,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-mathematiques-biof
1BAC-SM-MATH,Mathématiques — 1re Bac Sciences Mathématiques,1BAC-SM-MATH-BARYCENTRE,,1,Le barycentre dans le plan,البارمركز في المستوى,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-mathematiques-biof
1BAC-SM-MATH,Mathématiques — 1re Bac Sciences Mathématiques,1BAC-SM-MATH-SCALAIRE,,1,Le produit scalaire dans le plan,الجداء السلمي في المستوى,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-mathematiques-biof
1BAC-SM-MATH,Mathématiques — 1re Bac Sciences Mathématiques,1BAC-SM-MATH-TRIGO,,1,Calcul trigonométrique,الحساب المثلثي,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-mathematiques-biof
1BAC-SM-MATH,Mathématiques — 1re Bac Sciences Mathématiques,1BAC-SM-MATH-SUITES,,1,Les suites numériques,المتتاليات العددية,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-mathematiques-biof
1BAC-SM-MATH,Mathématiques — 1re Bac Sciences Mathématiques,1BAC-SM-MATH-LIMITES,,1,Limites d'une fonction,نهايات دالة,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-mathematiques-biof
1BAC-SM-MATH,Mathématiques — 1re Bac Sciences Mathématiques,1BAC-SM-MATH-ROTATION,,1,La rotation dans le plan,الدوران في المستوى,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-mathematiques-biof
1BAC-SM-MATH,Mathématiques — 1re Bac Sciences Mathématiques,1BAC-SM-MATH-DERIVATION,,1,La dérivation,الاشتقاق,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-mathematiques-biof
1BAC-SM-MATH,Mathématiques — 1re Bac Sciences Mathématiques,1BAC-SM-MATH-ETUDE,,1,Étude des fonctions,دراسة الدوال,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-mathematiques-biof
1BAC-SM-MATH,Mathématiques — 1re Bac Sciences Mathématiques,1BAC-SM-MATH-VECTEURS-ESP,,1,Vecteurs de l'espace,متجهات الفضاء,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-mathematiques-biof
1BAC-SM-MATH,Mathématiques — 1re Bac Sciences Mathématiques,1BAC-SM-MATH-GEO-ESP,,1,Géométrie dans l'espace,الهندسة في الفضاء,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-mathematiques-biof
1BAC-SM-MATH,Mathématiques — 1re Bac Sciences Mathématiques,1BAC-SM-MATH-DENOMBREMENT,,1,Dénombrement,التعداد,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-mathematiques-biof
1BAC-SM-MATH,Mathématiques — 1re Bac Sciences Mathématiques,1BAC-SM-MATH-SCALAIRE-ESP,,1,Le produit scalaire dans l'espace,الجداء السلمي في الفضاء,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-mathematiques-biof
1BAC-SM-MATH,Mathématiques — 1re Bac Sciences Mathématiques,1BAC-SM-MATH-ARITH,,1,Arithmétique dans Z,الحساب في Z,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-mathematiques-biof
1BAC-SM-MATH,Mathématiques — 1re Bac Sciences Mathématiques,1BAC-SM-MATH-VECTORIEL,,1,Le produit vectoriel,الجداء المتجهي,propose,a_confirmer,alloschool.com/course/mathematiques-1er-bac-sciences-mathematiques-biof
1BAC-SE-PC,Physique-Chimie — 1re Bac Sciences Expérimentales,1BAC-SE-PC-PHY,,0,Physique,الفيزياء,propose,a_confirmer,alloschool.com/course/physique-et-chimie-1er-bac-sciences-experimentales-biof
1BAC-SE-PC,Physique-Chimie — 1re Bac Sciences Expérimentales,1BAC-SE-PC-ROTATION,1BAC-SE-PC-PHY,1,Rotation d'un solide indéformable autour d'un axe fixe,دوران جسم صلب حول محور ثابت,propose,a_confirmer,alloschool.com/course/physique-et-chimie-1er-bac-sciences-experimentales-biof
1BAC-SE-PC,Physique-Chimie — 1re Bac Sciences Expérimentales,1BAC-SE-PC-TRAVAIL,1BAC-SE-PC-PHY,1,Travail et puissance d'une force,شغل وقدرة قوة,propose,a_confirmer,alloschool.com/course/physique-et-chimie-1er-bac-sciences-experimentales-biof
1BAC-SE-PC,Physique-Chimie — 1re Bac Sciences Expérimentales,1BAC-SE-PC-CINETIQUE,1BAC-SE-PC-PHY,1,Travail et énergie cinétique,الشغل والطاقة الحركية,propose,a_confirmer,alloschool.com/course/physique-et-chimie-1er-bac-sciences-experimentales-biof
1BAC-SE-PC,Physique-Chimie — 1re Bac Sciences Expérimentales,1BAC-SE-PC-MECANIQUE,1BAC-SE-PC-PHY,1,Travail et énergie potentielle de pesanteur — énergie mécanique,الشغل وطاقة الوضع الثقالية والطاقة الميكانيكية,propose,a_confirmer,alloschool.com/course/physique-et-chimie-1er-bac-sciences-experimentales-biof
1BAC-SE-PC,Physique-Chimie — 1re Bac Sciences Expérimentales,1BAC-SE-PC-TRANSFERT,1BAC-SE-PC-PHY,1,Transfert d'énergie dans un circuit électrique,انتقال الطاقة في دارة كهربائية,propose,a_confirmer,alloschool.com/course/physique-et-chimie-1er-bac-sciences-experimentales-biof
1BAC-SE-PC,Physique-Chimie — 1re Bac Sciences Expérimentales,1BAC-SE-PC-CIRCUIT,1BAC-SE-PC-PHY,1,Comportement global d'un circuit électrique,السلوك الشمولي لدارة كهربائية,propose,a_confirmer,alloschool.com/course/physique-et-chimie-1er-bac-sciences-experimentales-biof
1BAC-SE-PC,Physique-Chimie — 1re Bac Sciences Expérimentales,1BAC-SE-PC-MAGNETIQUE,1BAC-SE-PC-PHY,1,Le champ magnétique,المجال المغنطيسي,propose,a_confirmer,alloschool.com/course/physique-et-chimie-1er-bac-sciences-experimentales-biof
1BAC-SE-PC,Physique-Chimie — 1re Bac Sciences Expérimentales,1BAC-SE-PC-MAG-COURANT,1BAC-SE-PC-PHY,1,Le champ magnétique créé par un courant électrique,المجال المغنطيسي المحدث من طرف تيار كهربائي,propose,a_confirmer,alloschool.com/course/physique-et-chimie-1er-bac-sciences-experimentales-biof
1BAC-SE-PC,Physique-Chimie — 1re Bac Sciences Expérimentales,1BAC-SE-PC-LAPLACE,1BAC-SE-PC-PHY,1,Les forces électromagnétiques — loi de Laplace,القوى الكهرمغنطيسية وقانون لابلاس,propose,a_confirmer,alloschool.com/course/physique-et-chimie-1er-bac-sciences-experimentales-biof
1BAC-SE-PC,Physique-Chimie — 1re Bac Sciences Expérimentales,1BAC-SE-PC-VISIBILITE,1BAC-SE-PC-PHY,1,Visibilité d'un objet,رؤية جسم,propose,a_confirmer,alloschool.com/course/physique-et-chimie-1er-bac-sciences-experimentales-biof
1BAC-SE-PC,Physique-Chimie — 1re Bac Sciences Expérimentales,1BAC-SE-PC-MIROIR,1BAC-SE-PC-PHY,1,Les images formées par un miroir plan,الصور المتكونة بواسطة مرآة مستوية,propose,a_confirmer,alloschool.com/course/physique-et-chimie-1er-bac-sciences-experimentales-biof
1BAC-SE-PC,Physique-Chimie — 1re Bac Sciences Expérimentales,1BAC-SE-PC-LENTILLE,1BAC-SE-PC-PHY,1,Les images formées par une lentille mince convergente,الصور المتكونة بواسطة عدسة رقيقة مجمعة,propose,a_confirmer,alloschool.com/course/physique-et-chimie-1er-bac-sciences-experimentales-biof
1BAC-SE-PC,Physique-Chimie — 1re Bac Sciences Expérimentales,1BAC-SE-PC-CHI,,0,Chimie,الكيمياء,propose,a_confirmer,alloschool.com/course/physique-et-chimie-1er-bac-sciences-experimentales-biof
1BAC-SE-PC,Physique-Chimie — 1re Bac Sciences Expérimentales,1BAC-SE-PC-MESURE,1BAC-SE-PC-CHI,1,Importance de la mesure en chimie,أهمية القياس في الكيمياء,propose,a_confirmer,alloschool.com/course/physique-et-chimie-1er-bac-sciences-experimentales-biof
